token,list of numbers
aaaaamaz,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
scenery,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
bestsel,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
budget,"[0, 0, 1, 0, 4, 0, 22, 0, 18]"
troubl,"[10, 0, 8, 0, 5, 0, 6, 0, 5]"
bunch,"[9, 0, 5, 0, 14, 0, 32, 0, 18]"
#,"[3, 0, 9, 0, 4, 0, 15, 0, 17]"
baotothebanh,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
hipstery,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ridic,"[21, 0, 18, 0, 11, 0, 10, 0, 10]"
housemad,"[0, 0, 0, 0, 0, 0, 8, 0, 6]"
pain,"[6, 0, 6, 0, 7, 0, 7, 0, 0]"
tru,"[9, 0, 9, 0, 26, 0, 33, 0, 56]"
past,"[39, 0, 56, 0, 105, 0, 171, 0, 142]"
pricew,"[0, 0, 1, 0, 0, 0, 3, 0, 0]"
savoury,"[0, 0, 1, 0, 2, 0, 15, 0, 5]"
forgot,"[27, 0, 42, 0, 23, 0, 31, 0, 14]"
substitut,"[4, 0, 8, 0, 3, 0, 10, 0, 7]"
condens,"[1, 0, 0, 0, 5, 0, 5, 0, 2]"
horton,"[4, 0, 3, 0, 9, 0, 12, 0, 2]"
goto,"[2, 0, 7, 0, 10, 0, 34, 0, 36]"
trough,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
path,"[1, 0, 0, 0, 0, 0, 8, 0, 1]"
srirach,"[6, 0, 2, 0, 1, 0, 6, 0, 11]"
his,"[67, 0, 26, 0, 37, 0, 49, 0, 58]"
northeast,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
sink,"[3, 0, 0, 0, 3, 0, 2, 0, 1]"
tee,"[2, 0, 1, 0, 2, 0, 3, 0, 0]"
hois,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
mild,"[4, 0, 12, 0, 15, 0, 14, 0, 10]"
reqguk,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
bon,"[16, 0, 37, 0, 46, 0, 70, 0, 62]"
compl,"[4, 0, 3, 0, 6, 0, 13, 0, 13]"
encaps,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
counteract,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
heavy,"[6, 0, 14, 0, 18, 0, 37, 0, 16]"
chill,"[3, 0, 4, 0, 4, 0, 6, 0, 5]"
frit,"[2, 0, 1, 0, 7, 0, 13, 0, 13]"
unseason,"[2, 0, 4, 0, 1, 0, 2, 0, 0]"
concoct,"[1, 0, 0, 0, 0, 0, 2, 0, 0]"
hong,"[2, 0, 2, 0, 6, 0, 9, 0, 1]"
kongstyl,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
smooth,"[0, 0, 1, 0, 0, 0, 5, 0, 0]"
dilut,"[2, 0, 3, 0, 4, 0, 4, 0, 0]"
dumpst,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
recyc,"[1, 0, 1, 0, 0, 0, 4, 0, 2]"
bin,"[3, 0, 0, 0, 2, 0, 1, 0, 2]"
sub,"[8, 0, 16, 0, 9, 0, 24, 0, 46]"
babet,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ench,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
mystery,"[1, 0, 1, 0, 2, 0, 2, 0, 4]"
hideaway,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1637282,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
everytim,"[3, 0, 4, 0, 2, 0, 1, 0, 10]"
sight,"[5, 0, 1, 0, 3, 0, 5, 0, 2]"
palac,"[0, 0, 0, 0, 2, 0, 2, 0, 1]"
marvel,"[0, 0, 0, 0, 0, 0, 2, 0, 4]"
wond,"[14, 0, 15, 0, 20, 0, 60, 0, 113]"
excuisit,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
hear,"[11, 0, 21, 0, 15, 0, 18, 0, 13]"
headach,"[2, 0, 1, 0, 0, 0, 0, 0, 1]"
subsequ,"[0, 0, 0, 0, 1, 0, 3, 0, 0]"
overload,"[3, 0, 2, 0, 2, 0, 2, 0, 2]"
overcook,"[16, 0, 19, 0, 24, 0, 18, 0, 1]"
ext,"[0, 0, 3, 0, 0, 0, 2, 0, 0]"
ined,"[8, 0, 6, 0, 4, 0, 1, 0, 0]"
asid,"[7, 0, 6, 0, 14, 0, 20, 0, 9]"
pur,"[6, 0, 9, 0, 9, 0, 18, 0, 9]"
innov,"[0, 0, 2, 0, 0, 0, 3, 0, 4]"
becam,"[5, 0, 2, 0, 4, 0, 6, 0, 3]"
hip,"[2, 0, 1, 0, 2, 0, 8, 0, 1]"
abov,"[6, 0, 8, 0, 24, 0, 33, 0, 32]"
standard,"[20, 0, 34, 0, 53, 0, 53, 0, 23]"
newby,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
deffo,"[0, 0, 0, 0, 0, 0, 0, 0, 4]"
narrow,"[0, 0, 1, 0, 3, 0, 2, 0, 2]"
reduc,"[0, 0, 6, 0, 5, 0, 9, 0, 5]"
05,"[0, 0, 2, 0, 1, 0, 4, 0, 0]"
goop,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
spectacul,"[3, 0, 3, 0, 15, 0, 20, 0, 13]"
3/5,"[0, 0, 6, 0, 22, 0, 9, 0, 1]"
synonym,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
refry,"[3, 0, 4, 0, 1, 0, 4, 0, 4]"
switch,"[6, 0, 5, 0, 8, 0, 6, 0, 4]"
morsel,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
pung,"[1, 0, 1, 0, 0, 0, 1, 0, 1]"
coher,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
knock,"[0, 0, 0, 0, 7, 0, 5, 0, 3]"
bibimbap,"[2, 0, 21, 0, 14, 0, 17, 0, 10]"
remind,"[8, 0, 13, 0, 10, 0, 34, 0, 14]"
taiwanes,"[0, 0, 4, 0, 2, 0, 11, 0, 2]"
bunsth,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
oi,"[6, 0, 21, 0, 22, 0, 15, 0, 13]"
oil,"[27, 0, 25, 0, 28, 0, 39, 0, 27]"
heart,"[3, 0, 7, 0, 7, 0, 24, 0, 19]"
extraordin,"[1, 0, 2, 0, 1, 0, 5, 0, 1]"
warm,"[27, 0, 28, 0, 39, 0, 71, 0, 71]"
con,"[3, 0, 7, 0, 18, 0, 14, 0, 10]"
undercook,"[13, 0, 11, 0, 12, 0, 5, 0, 1]"
issu,"[28, 0, 22, 0, 31, 0, 48, 0, 13]"
famili,"[1, 0, 2, 0, 4, 0, 10, 0, 3]"
strongly,"[4, 0, 3, 0, 1, 0, 10, 0, 10]"
jalepeno,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
sirach,"[0, 0, 1, 0, 2, 0, 1, 0, 1]"
disast,"[2, 0, 3, 0, 1, 0, 2, 0, 0]"
effect,"[1, 0, 2, 0, 7, 0, 2, 0, 0]"
hum,"[7, 0, 4, 0, 5, 0, 6, 0, 6]"
mass,"[3, 0, 5, 0, 15, 0, 18, 0, 16]"
consum,"[3, 0, 2, 0, 2, 0, 5, 0, 7]"
heal,"[7, 0, 3, 0, 1, 0, 7, 0, 6]"
ultim,"[3, 0, 3, 0, 1, 0, 5, 0, 8]"
influ,"[1, 0, 0, 0, 4, 0, 2, 0, 2]"
access,"[1, 0, 5, 0, 5, 0, 16, 0, 6]"
gradu,"[1, 0, 0, 0, 1, 0, 2, 0, 5]"
7:30,"[2, 0, 0, 0, 1, 0, 2, 0, 2]"
saturday,"[13, 0, 21, 0, 30, 0, 56, 0, 46]"
particul,"[9, 0, 13, 0, 35, 0, 35, 0, 26]"
slic,"[47, 0, 48, 0, 61, 0, 69, 0, 44]"
perhap,"[10, 0, 16, 0, 18, 0, 26, 0, 9]"
zesty,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
sort,"[11, 0, 28, 0, 20, 0, 30, 0, 11]"
deserv,"[18, 0, 2, 0, 11, 0, 16, 0, 13]"
admir,"[0, 0, 0, 0, 1, 0, 0, 0, 4]"
auth,"[14, 0, 35, 0, 57, 0, 111, 0, 114]"
cuisin,"[5, 0, 9, 0, 21, 0, 32, 0, 33]"
homebody,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
hom,"[67, 0, 63, 0, 79, 0, 106, 0, 144]"
underground,"[0, 0, 0, 0, 2, 0, 0, 0, 5]"
kick,"[8, 0, 9, 0, 13, 0, 16, 0, 11]"
coron,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
munch,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
wellpr,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
handwrit,"[1, 0, 0, 0, 1, 0, 0, 0, 1]"
regardless,"[3, 0, 4, 0, 2, 0, 8, 0, 8]"
thirst,"[0, 0, 1, 0, 0, 0, 2, 0, 1]"
month,"[18, 0, 17, 0, 11, 0, 25, 0, 21]"
hook,"[0, 0, 0, 0, 1, 0, 7, 0, 11]"
connect,"[2, 0, 1, 0, 3, 0, 8, 0, 6]"
obtain,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
address,"[4, 0, 3, 0, 2, 0, 7, 0, 1]"
ip,"[0, 0, 0, 0, 2, 0, 3, 0, 2]"
solv,"[4, 0, 5, 0, 0, 0, 4, 0, 0]"
max,"[2, 0, 1, 0, 6, 0, 2, 0, 4]"
leas,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
renew,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
short,"[31, 0, 22, 0, 37, 0, 55, 0, 29]"
zon,"[0, 0, 0, 0, 5, 0, 3, 0, 2]"
chris,"[5, 0, 0, 0, 0, 0, 0, 0, 2]"
dud,"[3, 0, 0, 0, 1, 0, 1, 0, 6]"
crusty,"[0, 0, 1, 0, 3, 0, 1, 0, 3]"
hotdog,"[3, 0, 2, 0, 3, 0, 0, 0, 2]"
paninoty,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
aut,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
read,"[33, 0, 15, 0, 24, 0, 32, 0, 23]"
brav,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
interact,"[5, 0, 1, 0, 2, 0, 5, 0, 5]"
requir,"[6, 0, 8, 0, 5, 0, 11, 0, 9]"
chant,"[21, 0, 20, 0, 20, 0, 30, 0, 32]"
boston,"[3, 0, 2, 0, 0, 0, 2, 0, 3]"
crem,"[2, 0, 2, 0, 5, 0, 38, 0, 30]"
donut,"[0, 0, 0, 0, 2, 0, 5, 0, 9]"
frequ,"[14, 0, 7, 0, 15, 0, 32, 0, 20]"
50,"[15, 0, 8, 0, 11, 0, 25, 0, 6]"
studentheavy,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
bold,"[1, 0, 2, 0, 2, 0, 5, 0, 3]"
splurge,"[0, 0, 0, 0, 1, 0, 7, 0, 2]"
lean,"[2, 0, 2, 0, 4, 0, 5, 0, 1]"
boa,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
asianfus,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
sandwich/bao,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
infery,"[0, 0, 0, 0, 3, 0, 3, 0, 0]"
rot,"[7, 0, 4, 0, 6, 0, 15, 0, 19]"
somebody,"[4, 0, 2, 0, 0, 0, 1, 0, 1]"
everyday,"[0, 0, 0, 0, 8, 0, 6, 0, 13]"
11:00am,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
pw,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ess,"[3, 0, 6, 0, 5, 0, 12, 0, 4]"
1pm,"[2, 0, 1, 0, 1, 0, 4, 0, 1]"
unfortun,"[24, 0, 45, 0, 51, 0, 30, 0, 8]"
settl,"[7, 0, 0, 0, 7, 0, 5, 0, 5]"
hugest,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
row,"[5, 0, 6, 0, 3, 0, 6, 0, 4]"
bottom,"[15, 0, 9, 0, 11, 0, 16, 0, 10]"
weird,"[19, 0, 16, 0, 31, 0, 23, 0, 8]"
grow,"[1, 0, 2, 0, 4, 0, 3, 0, 3]"
legend,"[0, 0, 1, 0, 0, 0, 4, 0, 6]"
plaza,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
trip,"[14, 0, 10, 0, 19, 0, 32, 0, 35]"
proport,"[1, 0, 7, 0, 5, 0, 4, 0, 2]"
bao/banh,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
wci,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
62,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
25,"[12, 0, 13, 0, 21, 0, 20, 0, 17]"
promo,"[0, 0, 2, 0, 5, 0, 3, 0, 1]"
wood,"[3, 0, 3, 0, 9, 0, 22, 0, 20]"
peppery,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
veggy,"[19, 0, 29, 0, 58, 0, 102, 0, 55]"
kil,"[4, 0, 4, 0, 5, 0, 6, 0, 5]"
peanut,"[7, 0, 9, 0, 13, 0, 30, 0, 13]"
ind,"[24, 0, 28, 0, 21, 0, 47, 0, 36]"
root,"[3, 0, 0, 0, 1, 0, 5, 0, 5]"
rat,"[29, 0, 31, 0, 46, 0, 61, 0, 24]"
among,"[1, 0, 4, 0, 11, 0, 10, 0, 17]"
def,"[1, 0, 4, 0, 4, 0, 7, 0, 5]"
flar,"[0, 0, 0, 0, 1, 0, 2, 0, 1]"
predrink,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ran,"[7, 0, 19, 0, 8, 0, 16, 0, 1]"
5spiced,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
lych,"[0, 0, 0, 0, 2, 0, 3, 0, 2]"
request,"[22, 0, 25, 0, 13, 0, 14, 0, 27]"
crack,"[6, 0, 2, 0, 6, 0, 1, 0, 10]"
ecstasy,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
anywh,"[11, 0, 5, 0, 10, 0, 17, 0, 32]"
road,"[6, 0, 6, 0, 13, 0, 13, 0, 5]"
charm,"[1, 0, 4, 0, 2, 0, 16, 0, 15]"
dusk,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
employ,"[39, 0, 20, 0, 18, 0, 20, 0, 22]"
enthusiast,"[1, 0, 1, 0, 1, 0, 6, 0, 12]"
eag,"[1, 0, 3, 0, 1, 0, 4, 0, 6]"
challeng,"[1, 0, 0, 0, 10, 0, 7, 0, 4]"
soso,"[1, 0, 7, 0, 6, 0, 8, 0, 0]"
bak,"[16, 0, 20, 0, 30, 0, 48, 0, 48]"
uw,"[6, 0, 8, 0, 23, 0, 30, 0, 13]"
tier,"[1, 0, 0, 0, 0, 0, 3, 0, 3]"
mid,"[2, 0, 1, 0, 3, 0, 5, 0, 2]"
slab,"[1, 0, 0, 0, 3, 0, 2, 0, 2]"
\xe4\xba\x94\xe8\x8a\xb1\xe8\x82\x89,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
lest,"[0, 0, 1, 0, 2, 0, 4, 0, 1]"
esp,"[1, 0, 0, 0, 1, 0, 2, 0, 3]"
sorry,"[31, 0, 28, 0, 7, 0, 6, 0, 13]"
mozy,"[3, 0, 11, 0, 13, 0, 33, 0, 35]"
polit,"[12, 0, 10, 0, 15, 0, 27, 0, 39]"
speedy,"[0, 0, 1, 0, 2, 0, 8, 0, 5]"
curd,"[6, 0, 6, 0, 4, 0, 9, 0, 12]"
chees,"[77, 0, 90, 0, 108, 0, 210, 0, 189]"
cup,"[24, 0, 21, 0, 20, 0, 32, 0, 19]"
pun,"[1, 0, 2, 0, 0, 0, 2, 0, 2]"
intend,"[2, 0, 0, 0, 2, 0, 4, 0, 0]"
benh,"[0, 0, 0, 0, 0, 0, 4, 0, 0]"
og,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
b\xc3\xa1nh,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
m\xc3\xac,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
quickest,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
yay,"[0, 0, 1, 0, 0, 0, 5, 0, 5]"
benchmark,"[0, 0, 0, 0, 1, 0, 0, 0, 4]"
comparison,"[5, 0, 9, 0, 7, 0, 10, 0, 8]"
p,"[1, 0, 0, 0, 1, 0, 8, 0, 6]"
nicest,"[0, 0, 1, 0, 2, 0, 4, 0, 9]"
kitchenerwaterloo,"[2, 0, 0, 0, 4, 0, 9, 0, 19]"
stigm,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
die,"[0, 0, 2, 0, 6, 0, 21, 0, 36]"
soon,"[22, 0, 25, 0, 25, 0, 42, 0, 50]"
york,"[4, 0, 1, 0, 7, 0, 10, 0, 9]"
san,"[1, 0, 2, 0, 6, 0, 8, 0, 2]"
francisco,"[0, 0, 1, 0, 4, 0, 2, 0, 2]"
1230130,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
doughy,"[3, 0, 3, 0, 1, 0, 6, 0, 1]"
wtf,"[7, 0, 5, 0, 0, 0, 1, 0, 0]"
lunchtim,"[1, 0, 2, 0, 3, 0, 2, 0, 6]"
unbeliev,"[6, 0, 1, 0, 1, 0, 4, 0, 8]"
n0t,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
1279,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
unsatisfy,"[3, 0, 6, 0, 2, 0, 1, 0, 0]"
nop,"[4, 0, 6, 0, 2, 0, 4, 0, 1]"
boost,"[2, 0, 1, 0, 2, 0, 1, 0, 1]"
flavourgr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
renov,"[10, 0, 7, 0, 11, 0, 34, 0, 10]"
discret,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
und,"[23, 0, 26, 0, 22, 0, 44, 0, 30]"
greatest,"[4, 0, 6, 0, 6, 0, 4, 0, 4]"
plain,"[14, 0, 19, 0, 17, 0, 14, 0, 9]"
ta,"[0, 0, 2, 0, 4, 0, 9, 0, 12]"
penny,"[1, 0, 1, 0, 1, 0, 0, 0, 8]"
spent,"[12, 0, 9, 0, 9, 0, 16, 0, 15]"
houston,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
beyond,"[12, 0, 6, 0, 5, 0, 13, 0, 14]"
sens,"[8, 0, 13, 0, 7, 0, 13, 0, 7]"
struggle,"[3, 0, 0, 0, 3, 0, 5, 0, 1]"
certain,"[8, 0, 26, 0, 23, 0, 40, 0, 25]"
skimp,"[0, 0, 2, 0, 4, 0, 10, 0, 6]"
etc,"[7, 0, 23, 0, 46, 0, 49, 0, 33]"
inform,"[21, 0, 13, 0, 11, 0, 15, 0, 13]"
replac,"[10, 0, 11, 0, 15, 0, 13, 0, 7]"
strange,"[6, 0, 10, 0, 9, 0, 9, 0, 6]"
notch,"[0, 0, 1, 0, 3, 0, 19, 0, 30]"
revisit,"[2, 0, 2, 0, 4, 0, 2, 0, 2]"
hol,"[3, 0, 4, 0, 5, 0, 10, 0, 10]"
canad,"[12, 0, 17, 0, 31, 0, 39, 0, 49]"
bow,"[0, 0, 1, 0, 0, 0, 0, 0, 2]"
est,"[24, 0, 17, 0, 21, 0, 30, 0, 36]"
neg,"[16, 0, 6, 0, 5, 0, 15, 0, 16]"
fab,"[2, 0, 1, 0, 1, 0, 9, 0, 21]"
nerv,"[3, 0, 0, 0, 0, 0, 0, 0, 2]"
threaten,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
dishonest,"[5, 0, 0, 0, 0, 0, 0, 0, 0]"
behav,"[3, 0, 1, 0, 2, 0, 1, 0, 1]"
phon,"[50, 0, 10, 0, 9, 0, 7, 0, 3]"
admit,"[6, 0, 7, 0, 11, 0, 11, 0, 10]"
fault,"[20, 0, 8, 0, 2, 0, 11, 0, 5]"
mistak,"[33, 0, 15, 0, 12, 0, 12, 0, 5]"
bound,"[1, 0, 0, 0, 0, 0, 2, 0, 2]"
wast,"[48, 0, 10, 0, 4, 0, 7, 0, 4]"
legitim,"[2, 0, 0, 0, 1, 0, 3, 0, 1]"
unhappy,"[12, 0, 1, 0, 1, 0, 0, 0, 0]"
resolv,"[3, 0, 1, 0, 1, 0, 2, 0, 1]"
trespass,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
threatened,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
dat,"[9, 0, 8, 0, 37, 0, 70, 0, 63]"
confirm,"[13, 0, 1, 0, 3, 0, 2, 0, 3]"
proof,"[1, 0, 1, 0, 3, 0, 14, 0, 5]"
accus,"[7, 0, 2, 0, 0, 0, 0, 0, 0]"
year,"[63, 0, 75, 0, 96, 0, 110, 0, 131]"
refund,"[15, 0, 2, 0, 1, 0, 0, 0, 1]"
understood,"[3, 0, 1, 0, 0, 0, 2, 0, 0]"
lost,"[13, 0, 14, 0, 13, 0, 11, 0, 4]"
threatening,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
mod,"[1, 0, 1, 0, 5, 0, 6, 0, 2]"
joey,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
comfortable/spacious,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
vanill,"[1, 0, 0, 0, 5, 0, 5, 0, 6]"
swirl,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
head,"[23, 0, 12, 0, 11, 0, 23, 0, 35]"
patron,"[10, 0, 5, 0, 5, 0, 18, 0, 18]"
w,"[6, 0, 1, 0, 2, 0, 8, 0, 3]"
45*,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
heid,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
graham,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
job,"[16, 0, 13, 0, 22, 0, 32, 0, 22]"
chef/owner,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
inv,"[0, 0, 0, 0, 3, 0, 2, 0, 5]"
mushroom/arugula,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
saltimbocco,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
rapin,"[0, 0, 0, 0, 0, 0, 2, 0, 3]"
lemon,"[3, 0, 13, 0, 9, 0, 24, 0, 13]"
pie,"[12, 0, 6, 0, 13, 0, 26, 0, 28]"
chart,"[0, 0, 0, 0, 0, 0, 1, 0, 3]"
lib,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
brunch,"[5, 0, 11, 0, 18, 0, 76, 0, 57]"
chef,"[32, 0, 24, 0, 20, 0, 46, 0, 73]"
dan,"[0, 0, 2, 0, 0, 0, 2, 0, 6]"
curry,"[13, 0, 46, 0, 79, 0, 153, 0, 105]"
forc,"[9, 0, 7, 0, 5, 0, 4, 0, 4]"
grapefruit,"[0, 0, 1, 0, 1, 0, 3, 0, 1]"
berry,"[0, 0, 1, 0, 1, 0, 8, 0, 4]"
sangr,"[2, 0, 1, 0, 6, 0, 9, 0, 5]"
uns,"[1, 0, 1, 0, 2, 0, 4, 0, 3]"
pineappl,"[2, 0, 5, 0, 12, 0, 17, 0, 6]"
basmat,"[0, 0, 2, 0, 4, 0, 5, 0, 2]"
suck,"[21, 0, 11, 0, 9, 0, 13, 0, 5]"
plat,"[92, 0, 102, 0, 127, 0, 233, 0, 215]"
humm,"[0, 0, 7, 0, 4, 0, 13, 0, 17]"
flatbread,"[1, 0, 4, 0, 5, 0, 8, 0, 12]"
uptown,"[3, 0, 6, 0, 20, 0, 38, 0, 29]"
culin,"[1, 0, 0, 0, 2, 0, 2, 0, 4]"
carn,"[0, 0, 0, 0, 1, 0, 3, 0, 6]"
chacutery,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
angry,"[6, 0, 3, 0, 5, 0, 6, 0, 1]"
bird,"[0, 0, 0, 0, 1, 0, 4, 0, 0]"
mustard,"[4, 0, 3, 0, 6, 0, 7, 0, 3]"
peach,"[0, 0, 1, 0, 2, 0, 5, 0, 5]"
lardo,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
prosciutto,"[1, 0, 2, 0, 10, 0, 13, 0, 16]"
bean,"[16, 0, 31, 0, 36, 0, 86, 0, 47]"
marrow,"[0, 0, 0, 0, 2, 0, 5, 0, 4]"
tart,"[2, 0, 13, 0, 20, 0, 17, 0, 26]"
slaw,"[3, 0, 1, 0, 1, 0, 12, 0, 2]"
acid,"[2, 0, 2, 0, 4, 0, 4, 0, 2]"
tomato,"[21, 0, 39, 0, 40, 0, 64, 0, 57]"
potato,"[38, 0, 65, 0, 102, 0, 120, 0, 83]"
hearty,"[0, 0, 0, 0, 10, 0, 24, 0, 10]"
quot,"[3, 0, 3, 0, 2, 0, 4, 0, 1]"
thigh,"[0, 0, 3, 0, 0, 0, 2, 0, 1]"
butternut,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
squash,"[0, 0, 4, 0, 1, 0, 8, 0, 3]"
el,"[5, 0, 0, 0, 3, 0, 13, 0, 7]"
celebr,"[4, 0, 5, 0, 11, 0, 19, 0, 25]"
girlfriend,"[12, 0, 7, 0, 22, 0, 30, 0, 28]"
mimos,"[0, 0, 0, 0, 2, 0, 2, 0, 0]"
10:49,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
waitress,"[156, 0, 116, 0, 109, 0, 141, 0, 89]"
leg,"[3, 0, 4, 0, 10, 0, 11, 0, 7]"
cinderell,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
goat,"[0, 0, 12, 0, 14, 0, 29, 0, 23]"
perog,"[0, 0, 1, 0, 4, 0, 7, 0, 7]"
unpleas,"[5, 0, 2, 0, 6, 0, 1, 0, 1]"
sour,"[18, 0, 36, 0, 37, 0, 33, 0, 23]"
caes,"[9, 0, 16, 0, 29, 0, 38, 0, 15]"
anchovy,"[0, 0, 3, 0, 1, 0, 0, 0, 5]"
crostin,"[0, 0, 0, 0, 2, 0, 1, 0, 4]"
crummy,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
devast,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
cocktail,"[0, 0, 10, 0, 22, 0, 54, 0, 45]"
devil,"[0, 0, 0, 0, 1, 0, 4, 0, 1]"
powd,"[3, 0, 5, 0, 5, 0, 5, 0, 0]"
ak,"[1, 0, 5, 0, 3, 0, 3, 0, 3]"
market,"[8, 0, 1, 0, 14, 0, 15, 0, 27]"
crap,"[14, 0, 6, 0, 3, 0, 1, 0, 4]"
mont,"[2, 0, 2, 0, 6, 0, 1, 0, 6]"
steak,"[51, 0, 49, 0, 83, 0, 144, 0, 93]"
rim,"[2, 0, 0, 0, 2, 0, 4, 0, 3]"
blech,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
juic,"[9, 0, 13, 0, 12, 0, 25, 0, 21]"
old,"[46, 0, 48, 0, 66, 0, 82, 0, 53]"
walt,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
shelf,"[2, 0, 1, 0, 1, 0, 4, 0, 1]"
lif,"[31, 0, 10, 0, 10, 0, 12, 0, 30]"
tuesday,"[2, 0, 6, 0, 14, 0, 39, 0, 19]"
throughout,"[6, 0, 8, 0, 8, 0, 14, 0, 10]"
ging,"[1, 0, 8, 0, 4, 0, 13, 0, 7]"
ag,"[7, 0, 9, 0, 6, 0, 8, 0, 15]"
watermelon,"[0, 0, 0, 0, 0, 0, 5, 0, 4]"
rad,"[0, 0, 0, 0, 2, 0, 10, 0, 4]"
nut,"[1, 0, 6, 0, 8, 0, 8, 0, 12]"
coconut,"[7, 0, 12, 0, 13, 0, 37, 0, 22]"
kal,"[0, 0, 0, 0, 3, 0, 7, 0, 5]"
